10 ACTION EYESCLOSED,10 ACTION OBSERVE,10 ACTION GRIP,10 ACTION MOVEMENT,10 ACTION RELEASE,10 GESTURE EYESCLOSED,10 GESTURE PLANNING,10 GESTURE GRIP,10 GESTURE MOVEMENT OPEN,10 GESTURE RELEASE,12 ACTION EYESCLOSED,12 ACTION OBSERVE,12 ACTION GRIP,12 ACTION MOVEMENT,12 ACTION RELEASE,12 GESTURE EYESCLOSED,12 GESTURE PLANNING,12 GESTURE GRIP,12 GESTURE MOVEMENT OPEN,12 GESTURE  RELEASE,6 ACTION EYESCLOSED,6 ACTION OBSERVE,6 ACTION GRIP,6 ACTION MOVEMENT,6 ACTION RELEASE,6 GESTURE EYESCLOSED,6 GESTURE PLANNING,6 GESTURE GRIP,6 GESTURE MOVEMENT OPEN,6 GESTURE RELEASE,9 ACTION EYESCLOSED,9 ACTION OBSERVE,9 ACTION GRIP,9 ACTION MOVEMENT,9 ACTION RELEASE,9 GESTURE EYESCLOSED,9 GESTURE PLANNING,9 GESTURE GRIP,9 GESTURE MOVEMENT OPEN,9 GESTURE RELEASE,1 ACTION EYESCLOSED,1 ACTION OBSERVE,1 ACTION GRIP,1 ACTION MOVEMENT,1 ACTION RELEASE,1 GESTURE EYESCLOSED,1 GESTURE PLANNING,1 GESTURE GRIP,1 GESTURE MOVEMENT OPEN,1 GESTURE RELEASE,4 ACTION EYESCLOSED,4 ACTION OBSERVE,4 ACTION GRIP,4 ACTION MOVEMENT,4 ACTION RELEASE,4 GESTURE EYESCLOSED,4 GESTURE PLANNING,4 GESTURE GRIP,4 GESTURE MOVEMENT OPEN,4 GESTURE RELEASE,11 ACTION EYESCLOSED,11 ACTION OBSERVE,11 ACTION GRIP,11 ACTION MOVEMENT,11 ACTION RELEASE,11 GESTURE EYESCLOSED,11 GESTURE PLANNING,11 GESTURE GRIP,11 GESTURE MOVEMENT OPEN,11 GESTURE  RELEASE
26.2157458277788,29.5716758305287,35.4089547822796,123.889725722415,122.20888390105,30.7647153006114,30.2191245341956,38.8487048926198,101.228570590019,98.8654643474503,39.068995187112,39.5055934941485,42.7342701772318,123.959266610994,125.67178058661,30.6128835077788,30.2525273322867,30.4521851327443,111.792129373469,115.116240751656,31.4057881924404,32.2337401444127,33.3271924113182,92.0587584225937,94.6307223651856,31.2778411107222,30.7449583497403,30.8524315106355,117.692629168764,91.9230750190377,31.2731141764301,30.9246294318439,32.9021446123691,110.330625028014,109.57453325791,31.5320160753525,30.5021184749423,30.5031224744404,100.233088961167,90.0227728441334,32.6459520646315,27.9741353162919,27.9739019665489,84.2992203912529,78.9757648276275,34.5709784368875,33.9864315776157,34.3204200004775,69.7702311734285,66.7253775760628,32.0187829043723,29.5333506314484,30.8872503713785,97.6665277540382,92.3394989221168,31.586498847985,29.4496838583869,31.7138897948753,69.6285835852432,85.5794350203575,44.1091870469478,41.7671501193494,38.2832847323585,125.363412711347,124.480515190531,31.475458215882,30.3476911330851,35.7334156715293,83.5590855577339,85.1148081193207
26.2223469759322,29.570601434783,36.6374201600724,123.874092014891,122.25399296815,30.7663124072169,30.2130503270047,40.4055175300843,100.788732637638,100.185191191912,39.073503942239,39.5074514941866,43.3353899294396,124.099340071632,125.697799005493,30.6125809825235,30.2443236125292,30.5095252387501,111.793495930336,115.421105353665,31.4052008720278,32.2351881157415,33.3033290846534,91.9967466876567,94.7006200003935,31.2748026126208,30.7410234837855,30.8868975814682,117.667715267557,92.0193634450068,31.2561763856729,30.9275456954407,33.2382910878097,110.295871757395,109.549883875987,31.5225199234588,30.4987388833988,30.507705426601,100.213055567258,89.8854827450911,32.6565354506679,27.9738278307063,27.9755014351316,84.4685705226718,78.9791580386885,34.5611768745131,33.9836542366666,34.3323284841042,69.8432180149355,66.9411581214315,32.0247632103822,29.5370946113957,31.2294812682375,97.8479519701169,92.4188906588243,31.5561925236409,29.4553707521354,33.2535990506651,69.7558114091785,83.3999060148609,44.0526166940726,41.7609528992406,38.261726065723,125.283142615533,124.525319861296,31.4717942626927,30.3397870490204,36.0418512155218,83.4310722156107,85.2232572931482
26.2256761613358,29.5659757502618,37.9025636570677,123.866183830572,122.299739176371,30.7657878051203,30.2088731506478,41.9790571611234,100.263866634193,101.464560282129,39.0784080651721,39.5071222342842,44.0449006069652,124.240382689193,125.703211619255,30.6132956417616,30.245485455366,30.5997748369438,111.762741514713,115.615374267068,31.4051665248871,32.2325466950129,33.2539670946776,91.9723380478792,94.7638382027122,31.2731834807709,30.7397579757936,30.9172273417699,117.635752218209,91.8685928603368,31.2342803046298,30.9244385380379,33.6412887443863,110.242144257057,109.538336237428,31.5131812365978,30.4977372965428,30.5442531053996,100.194733601089,89.7265440678744,32.6923562613344,27.9657824509251,27.9706997854936,84.5790318660279,78.9892281058038,34.5463793186389,33.9841178805592,34.3408168324381,69.8804392095985,67.212338771245,32.0345647975654,29.5390248144878,31.5904914731208,97.982470759027,92.4853871275249,31.5630906756633,29.4559870176032,35.2801643354742,69.9060377121968,81.5340526779067,43.9871505721585,41.7590804242947,38.2889296459521,125.215341295035,124.572288993828,31.4713504876811,30.3347360260986,36.2755617023301,83.2574308168916,85.2469178507227
26.2275497331583,29.5670142674898,39.1619177379571,123.842277909602,122.344483661429,30.7681588742067,30.2067411367559,43.5261107898093,99.6565525969645,102.619554460879,39.083842090631,39.5079225169837,44.8052809662045,124.367836154623,125.690136163892,30.6107567460552,30.2442107772357,30.7387172627578,111.737394391783,115.85624041266,31.4045906695588,32.2171120330479,33.1983316627124,91.9916356836399,94.8307597558583,31.2718842470022,30.7381919116037,30.9986114952926,117.611201563213,91.6023797754567,31.225321750006,30.9262302634237,34.0815614431401,110.160216966135,109.546923783634,31.5035444819141,30.4973869836239,30.6552856494184,100.153809610087,89.5114992923892,32.7313915260036,27.953819490379,27.972671398232,84.6556005786529,78.9914992305485,34.5327127971825,33.9843508432175,34.35838936938,69.959738000725,67.571155471522,32.0419903815485,29.5493420968187,31.9710911916551,98.0848487242033,92.55913879011,31.5967486917704,29.4554591199606,37.667122473641,70.0962366803441,80.0018393341812,43.9227650466942,41.7472819792251,38.317548632647,125.140015728919,124.61464849808,31.4729837083201,30.3383875363423,36.4057674862127,82.9391565855419,85.279473845404
26.2328425060155,29.5737654045667,40.3663638884794,123.82545691419,122.387901191584,30.7660909722092,30.2038065818043,45.1936660586221,98.9625799053379,103.682263163119,39.089696697125,39.5086598115213,45.5910898762906,124.477604393627,125.675045396034,30.6102628619124,30.2426382125549,30.9369487399808,111.70804478948,115.993781859453,31.3896709296495,32.2177477987194,33.1227371240575,92.0107130462528,94.8789156396046,31.2686469101819,30.7374063696227,31.1869837701682,117.581233783677,91.4121896912669,31.2135867467233,30.9269620979012,34.5739588318342,110.03210345342,109.565028341242,31.4937282514805,30.4970855230153,30.9254946997801,100.113385799514,89.2482171092065,32.7677733505126,27.9312441122042,27.9741797919534,84.6990273376768,78.9906498516696,34.5192147256156,33.9823759028488,34.3698232754459,70.100887190705,68.039475202019,32.0605890611352,29.5600208165565,32.3750465648722,98.1443955296506,92.645400935952,31.6469657549521,29.455845726811,40.3073454150138,70.3081585356754,78.7624233124883,43.8694330927435,41.7311665682768,38.3759469473169,125.055293022118,124.646757942048,31.4696221096204,30.3452848718007,36.4584468917568,82.6354412763788,85.2160254944267
26.234509670007,29.5782724652594,41.5305650797984,123.811507245052,122.422342916926,30.7618522881775,30.2052513317694,47.0236892419852,98.1881510851897,104.575704933493,39.0875864193546,39.5140524564594,46.3411935821281,124.554013995093,125.647579826728,30.6087907523154,30.2427414585245,31.2342842186798,111.649853456529,116.042190135591,31.3664598555745,32.2203048927836,33.0821471591193,92.0475645329367,94.9461932955954,31.2663436424489,30.7403524855806,31.4701497430749,117.54785843866,91.2493571101861,31.1995181955275,30.9393047077157,35.164643603022,109.899765103072,109.600948337772,31.4839420728081,30.4998203803053,31.4387024764573,100.076036366849,88.9449337761062,32.7963506249822,27.9103912247135,27.9779527723062,84.7239119527237,78.9933079378534,34.5041773543425,33.9809011154739,34.3777891017422,70.0870045088785,68.6117463268784,32.0811546857841,29.5662142902422,32.7902385201105,98.1766705625419,92.7457976118811,31.6821739866262,29.4537877534893,43.0873543463074,70.4998598140433,78.0173022737138,43.8241697003698,41.716018192631,38.4524744264111,124.967154643664,124.656208239678,31.4665147295839,30.3414568316931,36.3883327697121,82.3384566781434,85.1353046601363
26.2311595176702,29.5830648713996,42.6884521393878,123.785247181478,122.451933196751,30.7628625436526,30.2099115925251,48.9762449348045,97.3784004027998,105.450019070886,39.0884367797333,39.5199794031717,47.0899776486595,124.598510843376,125.640686580653,30.6093943414632,30.2542293106437,31.6429194891636,111.569896441753,115.982100788355,31.3510335035359,32.2247845931532,33.0675086648022,92.0910811449622,94.9997248917976,31.2673362560411,30.7432732649436,31.8795809539268,117.503558372008,91.018892614666,31.1945690158054,30.9443685744441,35.8821597558238,109.763060914417,109.680058796332,31.4746231975471,30.4999204275455,32.2711554646343,100.028783210067,88.5953806435776,32.8155052341365,27.9040947498922,27.9885714754646,84.7279776777246,78.9964494887018,34.4838789991517,33.9833487520968,34.3894636707154,70.2760443781304,69.4108699169013,32.0995721658119,29.5733450508601,33.2110075886817,98.1875107566069,92.8763180824521,31.6981547747004,29.4530275832066,45.7546606892515,70.7237479239862,77.6048978573391,43.7837198909503,41.6978454668471,38.5680935649257,124.838302028425,124.671224459771,31.4658611277053,30.3368501099344,36.2578582064078,82.0238735953935,85.1287985776397
26.229709863981,29.5866443452634,43.7877219168551,123.768865559932,122.473078207306,30.762910377138,30.209855708234,51.0504792795442,96.560714540693,106.01139729491,39.0897022312847,39.5246870562345,47.8379310637856,124.626264693866,125.640708214762,30.6122858153595,30.2567759620469,32.158447403412,111.469358029795,115.957605350547,31.3485602280688,32.2171023573621,33.1254956770978,92.1588917616531,95.0358486773867,31.2616362931322,30.7456743339581,32.4357910650114,117.48410952223,90.7696249017736,31.1993788311794,30.9535065805719,36.7839187896831,109.610051155712,109.832148977035,31.4646497340103,30.4988460128091,33.5162472265623,99.9715694001262,88.1942075648443,32.8628855374548,27.9067257622504,28.0068682468665,84.7138984533129,79.0058501228677,34.4605431694518,33.9872256534518,34.4036396221778,70.447006737564,70.3495204541711,32.1128203487195,29.5705040933658,33.6485086919957,98.1619866225581,93.0490450531837,31.7056855699487,29.4499524635463,48.1070214481175,70.9758741122353,77.3237820658239,43.7494709672275,41.6805238308668,38.7742456131864,124.716140348069,124.674994683791,31.4599709569021,30.3328315649416,36.095685548669,81.7171486315833,85.0875353275378
26.2336072865078,29.5882185302543,44.8853547374581,123.743781641738,122.479204798408,30.765016939826,30.2086382444464,53.2281496413368,95.7829630204357,106.369720749032,39.0850469194493,39.5316806802305,48.5325114465009,124.634522166362,125.641311911735,30.6207698565469,30.2574831260323,32.7950028840755,111.376388318623,115.935215021238,31.3274281701268,32.2302548392639,33.2445542904622,92.2265648080897,95.0635685224231,31.261228804527,30.7448216338673,33.1223602672947,117.460562198835,90.3035792273055,31.2165123249266,30.9530591832766,37.9675697254383,109.467958340232,110.047741498623,31.4605562353741,30.5010774938429,35.2599802254823,99.9252001504799,87.7044643532954,32.8955256469207,27.9048874135716,28.0085769287027,84.6863743622696,79.0111331676656,34.4402189533552,33.991564952827,34.4225840043718,70.6851946699393,71.3869351670228,32.1199365988045,29.566153360771,34.0848953680101,98.1328983230821,93.2354618265735,31.6744153951416,29.4470466617793,50.1725495533495,71.2189215092135,77.2328717081323,43.7236031820529,41.6562225044518,39.0810514603569,124.610971964863,124.675173752303,31.45732979934,30.3331121339399,35.9221622730377,81.4784794763626,85.1195095445753
26.228238837837,29.5876487464161,45.9418628296068,123.72779623265,122.49412564957,30.7677359514354,30.2088687223133,55.5639969048714,95.0989799451044,106.505247954709,39.0804838819178,39.5397160430396,49.1872669043883,124.629727800377,125.644068205277,30.625417408752,30.2588866643664,33.5312023618237,111.272248083979,115.899474854701,31.2995021804024,32.2324249565376,33.5187157456169,92.260908226483,95.110919909564,31.2594189207456,30.7441668773163,33.9483587516969,117.431811192147,89.9573897337604,31.2303582732165,30.9567548309309,39.2234241117382,109.350688935565,110.366960356608,31.4595196403623,30.5001211946222,37.4878856785417,99.8766398394303,87.1130496913271,32.9294379882965,27.8967640488359,28.0153655711611,84.6467121675373,79.0227809192644,34.4196546524655,33.9940241354083,34.4455493956669,71.0695942599018,72.5148455749709,32.1110865111718,29.5580635468854,34.5152507696769,98.0747162030482,93.4347628990613,31.6347374302703,29.4463331244946,51.7763282414478,71.4570809012083,77.3249509014381,43.6996479746562,41.6159334766224,39.457005762689,124.511511449406,124.665203916327,31.4487192623322,30.3291385313738,35.7858758717397,81.2124591124411,85.2145882515677
