7 ACTION EYESCLOSED,7 ACTION OBSERVE,7 ACTION GRIP,7 ACTION MOVEMENT,7 ACTION RELEASE,12 ACTION EYESCLOSED,12 ACTION OBSERVE,12 ACTION GRIP,12 ACTION MOVEMENT,12 ACTION RELEASE,4 ACTION EYESCLOSED,4 ACTION OBSERVE,4 ACTION GRIP,4 ACTION MOVEMENT,4 ACTION RELEASE,8 ACTION EYESCLOSED,8 ACTION OBSERVE,8 ACTION GRIP,8 ACTION MOVEMENT,8 ACTION RELEASE,5 ACTION EYESCLOSED,5 ACTION OBSERVE,5 ACTION GRIP,5 ACTION MOVEMENT,5 ACTION RELEASE,10 ACTION EYESCLOSED,10 ACTION OBSERVE,10 ACTION GRIP,10 ACTION MOVEMENT,10 ACTION RELEASE,9 ACTION EYESCLOSED,9 ACTION OBSERVE,9 ACTION GRIP,9 ACTION MOVEMENT,9 ACTION RELEASE,1 ACTION EYESCLOSED,1 ACTION OBSERVE,1 ACTION GRIP,1 ACTION MOVEMENT,1 ACTION RELEASE,2 ACTION EYESCLOSED,2 ACTION OBSERVE,2 ACTION GRIP,2 ACTION MOVEMENT,2 ACTION RELEASE,11 ACTION EYESCLOSED,11 ACTION OBSERVE,11 ACTION GRIP,11 ACTION MOVEMENT,11 ACTION RELEASE,6 ACTION EYESCLOSED,6 ACTION OBSERVE,6 ACTION GRIP,6 ACTION MOVEMENT,6 ACTION RELEASE,3 ACTION EYESCLOSED,3 ACTION OBSERVE,3 ACTION GRIP,3 ACTION MOVEMENT,3 ACTION RELEASE
29.6054981051653,29.5353302059993,29.8498986762098,104.072634862304,108.499884011293,28.6453679042449,28.6938380411406,30.6783482099887,124.961315914107,123.317252385021,28.4602759342577,27.2164753152225,29.4628364015094,92.2694267976491,94.2697363971438,30.0752445479681,28.7149175617748,31.7724307960909,107.072732799165,106.715301150087,31.5643309336652,29.5240111996235,32.9018561465631,92.5150188103423,92.7173760718382,29.5278612898975,29.2395230725582,32.6062128152132,121.748450990488,123.255864940972,30.8515410066364,30.3160323028114,33.4956729505001,106.572994253729,107.673145289887,31.429038310302,29.0762058441452,34.4052366050603,77.4929723110734,82.8847838865345,31.8544438256376,29.6788444346,34.7570549968731,81.3601164696437,83.3486802325095,31.3508950268883,30.1810732157092,31.4493332542379,122.670522981772,122.526305105924,31.4369698719201,30.1810721861509,30.5038075288476,92.5343349879408,93.3277108993966,30.4225107803723,29.9012500660038,29.9002305092177,76.3260382154526,76.575894354319
29.5984186399871,29.5327933309908,29.8934508322926,103.969471814359,108.602901711741,28.6311731319191,28.6918183830472,30.9955948320661,124.926750819333,123.363110131828,28.4073815486937,27.2143198847751,29.6337520740157,92.1134945157908,94.5847083803664,30.0759707302946,28.7130043325302,32.2301984025082,106.95541663856,106.726662006363,31.5545494635687,29.5212597695644,32.5936797820843,92.4777267928246,92.8856818261259,29.5211720457597,29.2394421579164,33.0242380688523,121.803579607255,123.248708141433,30.850784581211,30.3120718226441,33.7829964312855,106.509407244949,107.710287694066,31.4184108206272,29.0743976246892,35.3374963227082,77.399879233095,83.4502477687818,31.8376681056599,29.6786773422902,35.2304848374367,81.2001483414783,83.6814588962178,31.3505631041087,30.1814173935272,31.6557527422366,122.648369513903,122.589972836242,31.4251805558393,30.1808572550096,30.6144476244616,92.4183559710393,93.5763270887054,30.4204371525682,29.9031048339868,29.9097812160082,76.2706489398391,76.6847889570234
29.5968043880698,29.5283424532019,29.9511852742653,103.860775212058,108.731811409002,28.6168030880983,28.6927700632956,31.4160999109087,124.877076865736,123.409283976503,28.3579217039255,27.2167677321108,29.787751281319,91.9402122995366,94.9305192013982,30.0725782775875,28.7108786758861,32.7566555258575,106.856249147612,106.73314315419,31.5423872918232,29.5229076765647,32.2280599114978,92.4649196493059,93.1737639059304,29.5095183434761,29.2419493236333,33.4003726341907,121.852639099615,123.23998154456,30.8487084953768,30.3079408362712,34.022681822347,106.458719651534,107.762210233999,31.4064284405405,29.0726131370929,36.5160440565062,77.3133942151345,83.9229432535641,31.815421091324,29.6802304433639,35.6665063857975,81.0147441661056,83.9575229839447,31.345523645276,30.1796583173106,31.9159242014981,122.633328318796,122.658919362746,31.4153851756176,30.1818765897455,30.7559893099185,92.3129761323553,93.918048141048,30.4199599494649,29.9026618390874,29.9165573870051,76.2238636471581,76.9150390694822
29.599596608581,29.5379654743146,29.9996073298516,103.755730054295,108.861556949424,28.5963149713593,28.6909805733791,31.8303470587658,124.819889219727,123.461935882242,28.3105403264699,27.2137884840939,30.1543508866221,91.7639341892542,95.3407161597522,30.0614206567691,28.7145495181772,33.4353082480158,106.761607852412,106.735354278004,31.5321073766502,29.5238574973892,31.8127926981882,92.4493271930081,93.5833096186914,29.5013243045021,29.2438365469368,33.7658411284662,121.896006519032,123.233091326972,30.8495952086077,30.3065365672357,34.2307656312901,106.415578733767,107.79511555985,31.3969834150164,29.0748657769784,37.8163332758719,77.2355804729147,84.2955625803593,31.7968050086123,29.6819044873825,36.0335262834537,80.7895397024176,84.1952310676586,31.3406726965924,30.1780443619615,32.2158308719664,122.626666211534,122.73095205705,31.4084455067392,30.1814331218143,30.9397258303481,92.2089200655792,94.3612877551901,30.421408334914,29.9043034591217,29.9209863107945,76.1810123586745,77.2881570242996
29.6016479505531,29.5461392625551,30.019004817769,103.682278016533,108.993190688553,28.5777036523176,28.6919170042939,32.2821973294541,124.767001200008,123.507229090974,28.2628607562452,27.2106697527608,30.5403910779977,91.5863056679405,95.7826319675317,30.0552775494727,28.7204805443328,34.2770064074065,106.666553414355,106.766505062519,31.5214476819028,29.5244711205864,31.3681779162951,92.4345554975962,94.0878878435945,29.4947644503845,29.2437739470751,34.1389601774907,121.940039116476,123.210999718838,30.8548716857197,30.3080404811795,34.4319236633613,106.359478392716,107.86381546058,31.3864413083546,29.0752135584346,39.289602520105,77.1591073357383,84.6396363897451,31.7850442524796,29.6870504575799,36.2482923936211,80.5428505907077,84.4276127368833,31.3373285325426,30.1796586882612,32.5520217244514,122.629842081542,122.817028229142,31.3969914590606,30.1840699185245,31.1782444030082,92.1019805090888,94.9033761450325,30.4161372918798,29.9065684811156,29.9311470452225,76.152710898565,77.8351886411138
29.6062595699648,29.5510563701265,30.0331395600428,103.631666892967,109.111991173714,28.5539144025263,28.6919726288231,32.8108827800984,124.706929633389,123.567676350027,28.2160362552257,27.2107999569948,31.0060780940492,91.4215808987203,96.2331429054817,30.0572759404826,28.717178804119,35.2696572184724,106.575152976734,106.804567603056,31.5101714740182,29.5229489647464,30.9393437897177,92.4127574044622,94.6586791010959,29.4870391682411,29.2446217956034,34.5585356475153,121.987874730504,123.188467516489,30.8537146511694,30.3138726106824,34.5991062281355,106.331788513894,107.992883266004,31.3801005922335,29.0739236107023,41.0148563639538,77.0922895432674,84.8940932995959,31.7744622732818,29.6898219636728,36.4278544976355,80.2850920159355,84.6458563660713,31.3353199841983,30.1755309285521,32.9205315139001,122.627243110713,122.922512620692,31.3840258723746,30.1839830390442,31.4799555194099,92.031980665467,95.5654002933716,30.4158417826652,29.9040937210272,29.9962244485215,76.1289869500662,78.5190731458861
29.6064785076945,29.5492311555778,30.0349385442764,103.613006371112,109.238061770451,28.5316958085466,28.6931122406751,33.3461609787931,124.639793468148,123.61963649399,28.1701664417332,27.2117823235791,31.7018617334877,91.2467154353952,96.6493856771634,30.0688665787286,28.7163891468322,36.3168989221783,106.494030913923,106.860202858808,31.5013458668806,29.5215587317041,30.5661186852839,92.4138787134492,95.2827769633374,29.4787417565061,29.2471021527059,35.0493878311808,122.029246734234,123.158964217111,30.8530023452661,30.3119498989282,34.7616335045276,106.296391615382,108.174863754975,31.3713621959308,29.0746124799514,42.805047924819,77.0260769415751,85.1594706407991,31.7602578734491,29.6933873045488,36.5157705179314,80.0183940661323,84.8623707229457,31.3307016188282,30.1705587949241,33.2801741851135,122.625567692714,123.036160515335,31.3720339505543,30.1848525652185,31.8649873962975,91.9808080491157,96.3265410176349,30.4186905096478,29.9000043849074,30.1216885343398,76.095622558962,79.3388834267451
29.6080195834645,29.5502390859563,30.0451135662016,103.624743570398,109.362778201559,28.5089233441262,28.6905874189138,34.0113366327263,124.567951335829,123.662430264332,28.1250893605195,27.2099463657722,32.5048297420619,91.1047590987699,97.015769006475,30.0706914344182,28.716837514183,37.506514833809,106.418346303833,106.927629314106,31.4970123429294,29.5187321125496,30.2705585146899,92.4069623572959,95.9012034854808,29.4729165577259,29.2479202825638,35.6100625175897,122.066357802242,123.143202689905,30.8519259114875,30.3123850382587,34.9494527177547,106.298021041773,108.446404994493,31.3646436472279,29.0714934933405,44.6451992230124,76.9590543377085,85.4592806764905,31.7475453337117,29.6980621578723,36.5589752610217,79.7642420333683,85.0934471160968,31.3234899374355,30.1709741405497,33.6601411175338,122.621529499467,123.154754712546,31.3597018516617,30.1836272068047,32.3655718181438,91.948943182782,97.1108905488533,30.4208010045127,29.8993426347709,30.3048587453541,76.0820204732576,80.254833145079
29.6070731566856,29.5522487467406,30.0185495001456,103.66370115565,109.490942220203,28.4838173342918,28.6918084969914,34.8477867814303,124.492430924052,123.688970743205,28.0837747303012,27.2137261488539,33.245163673589,90.9676829460809,97.3300653175212,30.0728738406349,28.7205412181933,38.7466406017572,106.341095709608,107.048510753529,31.4931830992438,29.5171436578248,30.0863057514086,92.4080523143547,96.4651757906623,29.4605767988226,29.2510265410698,36.2341227501669,122.102285602508,123.136487197328,30.847400678019,30.3114087938337,35.1425967319763,106.342518078137,108.839006513573,31.3593373968104,29.0681611379233,46.5892902346932,76.889199559751,85.7858383120417,31.7383483576563,29.6996911281002,36.660076916575,79.5222984890437,85.322279828896,31.3140909972812,30.1726084918285,34.0346873645261,122.614454168419,123.284221615938,31.3505266472603,30.1812393099274,32.985901370133,91.9322262870523,97.8567583598635,30.4222638899873,29.8940835433321,30.5984232191141,76.0707402408644,81.2455758087858
29.6065928053298,29.5565706978034,30.0050046340468,103.717775693289,109.612512562185,28.4596800621887,28.6899979337894,35.7454080249277,124.398837204436,123.728272574455,28.0338284000491,27.2149132131446,34.0389080923644,90.833669336416,97.5976414119637,30.0782741231633,28.7203069953962,40.052212276285,106.26564781498,107.175164392415,31.4874012296477,29.5189917239006,29.9536625685078,92.3906966764616,96.9311837226018,29.4513156724047,29.2524972065272,36.8927863905185,122.154572412256,123.13036059914,30.8424481696922,30.311912169109,35.3532998754144,106.370391361465,109.2748915014,31.3591091296432,29.0642198081381,48.3797649813471,76.8156695042417,86.1742826474144,31.7259644020964,29.7010106529866,36.6469483827329,79.2823802470079,85.5666749191584,31.3080607369211,30.1751121388525,34.3798818297931,122.599006473528,123.446492047233,31.3443319963049,30.1778864608994,33.7246114514267,91.937158601577,98.509258132414,30.4201096097769,29.8896179338203,31.0307514049534,76.0674042746526,82.2498408604779
