7 ACTION EYESCLOSED,7 ACTION OBSERVE,7 ACTION GRIP,7 ACTION MOVEMENT,7 ACTION RELEASE,7 GESTURE EYESCLOSED,7 GESTURE PLANNING,7 GESTURE GRIP,7 GESTURE MOVEMENT OPEN,7 GESTURE RELEASE,12 ACTION EYESCLOSED,12 ACTION OBSERVE,12 ACTION GRIP,12 ACTION MOVEMENT,12 ACTION RELEASE,12 GESTURE EYESCLOSED,12 GESTURE PLANNING,12 GESTURE GRIP,12 GESTURE MOVEMENT OPEN-CLOSED,12 GESTURE RELEASE,4 ACTION EYESCLOSED,4 ACTION OBSERVE,4 ACTION GRIP,4 ACTION MOVEMENT,4 ACTION RELEASE,4 GESTURE EYESCLOSED,4 GESTURE PLANNING,4 GESTURE GRIP,4 GESTURE MOVEMENT OPEN,4 GESTURE RELEASE,8 ACTION EYESCLOSED,8 ACTION OBSERVE,8 ACTION GRIP,8 ACTION MOVEMENT,8 ACTION RELEASE,8 GESTURE EYESCLOSED,8 GESTURE PLANNING,8 GESTURE MOVEMENT OPEN-CLOSED,8 GESTURE RELEASE,5 ACTION EYESCLOSED,5 ACTION OBSERVE,5 ACTION GRIP,5 ACTION MOVEMENT,5 ACTION RELEASE,5 GESTURE EYESCLOSED,5 GESTURE PLANNING,5 GESTURE GRIP,5 GESTURE MOVEMENT OPEN-CLOSED,5 GESTURE RELEASE,10 ACTION EYESCLOSED,10 ACTION OBSERVE,10 ACTION GRIP,10 ACTION MOVEMENT,10 ACTION RELEASE,10 GESTURE EYESCLOSED,10 GESTURE PLANNING,10 GESTURE GRIP,10 GESTURE MOVEMENT OPEN,10 GESTURE RELEASE
40.8568864594726,,119.645942787851,108.794537374462,33.1624938711211,30.4766596838629,30.8665094088898,89.0579219613234,64.5244594525211,96.0418904771567,39.1860873705244,43.7636291596797,124.595048195163,123.078930968414,63.2372913654253,31.1316818301831,30.2996157827549,101.858052532388,93.709478272634,102.969675612685,33.1446317555349,33.5641671312941,96.949196072657,94.2652424592888,41.8148269542689,31.3149787268986,31.4062972319933,106.935605152909,94.5326404933762,83.2192647711396,31.5083063518901,,119.99143462081,108.98904102251,35.9623307747364,31.3143908919681,31.1226675859585,32.6998059860063,95.8998250088835,23.3245583033629,,98.8605041018179,95.1462439385796,35.1295240616818,31.3844016379108,30.895448279075,87.626082767574,75.3237901040202,84.0975682844381,31.5018012450277,,128.731161134968,124.443355547073,69.7421025691648,30.3430803767691,29.1456933389204,97.128477959644,61.5485554770099,106.459952069673
40.8054849919704,,119.793750068182,108.833595572606,31.8119140483076,30.4767435787362,30.8623618501214,89.2214164926291,64.374190924551,96.0401829514732,39.0672842145286,43.7298321493222,124.812168327079,123.141281740667,60.4736765220532,31.1297347850038,30.2999223608303,102.024894915496,93.7084239058082,103.092981924164,33.1471526967582,33.5595018457451,97.164736544294,94.5064430994897,41.7383490644349,31.3277785683021,31.3986180079783,106.998652651765,94.1827742187065,82.5187950890353,31.5122877201315,,119.965368661566,108.965661913775,35.7171987161068,31.3167710349123,31.1228302698837,32.4473591006266,96.6291479236433,23.3378892314033,,98.8558542300956,95.0582526789683,34.8485955379479,31.3720298513026,30.899269596688,87.6561314158414,75.2404713476289,83.7418729513073,31.4946472746222,,128.648560128676,124.515607959112,66.317011296305,30.3238534173116,29.1451356686525,97.0173618491383,61.4830704307063,106.71957956776
40.7607471048356,,119.917978034175,108.854072329989,30.9172061931116,30.4837573589346,30.8570364958037,89.4018400675907,64.2567453254244,96.0869950788519,38.9365505422807,43.6986554187161,125.010187375112,123.141553688955,58.1716761954559,31.124790238063,30.297879927392,102.192557440901,93.6838429684865,103.219515541855,33.1559811057732,33.5544566561204,97.4075872157194,94.8160151111197,41.6346488327006,31.3211260008383,31.3896924001012,107.045219152418,93.8331592579016,81.870331685862,31.5249914626164,,119.940935644833,108.940078748548,35.5293223262052,31.3230720327031,31.1232802391065,32.2239999991596,97.2907253283893,23.340659894196,,98.8667845946453,95.0826453608519,34.6232236766694,31.3722496543651,30.901472903589,87.7031849603348,75.1576868368944,83.3514075206988,31.4890080442492,,128.564088194808,124.505746876845,63.2551505349586,30.3043421354587,29.1464761536965,96.9140778228141,61.4432497747808,106.983647235306
40.7162059253718,,120.014763996818,108.936507630843,30.6334069557391,30.4875399064369,30.8548452409309,89.5810001501123,64.175574054241,96.1374016190009,38.8087189418786,43.6626823938559,125.188358055883,123.104781867946,55.9427448462965,31.1230263229073,30.2967550312612,102.335641785481,93.6616137023894,103.298748099923,33.158268550301,33.5550829912475,97.662787401774,95.0277899323315,41.5311935563439,31.3122621841597,31.3881062962479,107.122429338572,93.6352920479829,81.2899431100493,31.5181906560336,,119.918125598152,108.939348745444,35.3671605528712,31.3219512590722,31.1193524627925,31.9932128178502,97.6121597739535,23.3480828272175,,98.8750132806596,95.1062216319692,34.4399999485286,31.3757170758312,30.904150004025,87.7726429961384,75.0666670805831,82.9951249338015,31.4853170251764,,128.464416007228,124.578657038447,60.6606116399434,30.289313541773,29.152475160321,96.8168904206371,61.4756506640012,107.245896743115
40.6795377468645,,120.116043174102,108.948219234324,30.1730204688538,30.48909444643,30.8553937873761,89.755063738316,64.1114600535707,96.1925939114306,38.6657772917311,43.6236684855578,125.359587358519,123.047660142756,53.6865446957864,31.1225689108928,30.2935328119826,102.466515531082,93.6106056832202,103.391571635989,33.1573433335443,33.5826063540713,97.8942390622032,95.1654066747364,41.3570478972989,31.318822588264,31.4021978420169,107.194550188621,93.3560883175603,80.8085512876651,31.514196972493,,119.88341645791,108.928447086102,35.2147076829524,31.3177624699812,31.1154744598351,31.7708912093127,97.7196893797051,23.3582382996316,,98.8770979578018,95.2286350477164,34.2424954722845,31.3783292824283,30.9053965727037,87.8383101494025,74.9770827319825,82.6555542239576,31.4829811590728,,128.345970047401,124.64692509829,58.2638953695229,30.2720626697572,29.1549621961425,96.7238177344523,61.5908377639532,107.489848499387
40.6434061134578,,120.189008425731,108.962866352549,29.8507884965348,30.4903290778926,30.855823060453,89.9295916936887,64.0621886961435,96.2530750956062,38.5138019765742,43.5777719097226,125.521838383298,123.080100166644,51.9595319507338,31.1180305442562,30.2955617690818,102.62683202761,93.5525579619117,103.478421293391,33.1550485041364,33.6345044357219,98.1112226889959,95.3573772874369,41.1037046075127,31.3329113399404,31.3984153093503,107.280400551418,93.1892945267627,80.4517333488641,31.5154435093509,,119.839258680101,108.92961092612,35.102546411301,31.3175492471272,31.1141635864192,31.5528499186548,97.9239901957201,23.3535779739502,,98.8573250091967,95.4027537013431,34.0959740392697,31.3638895831998,30.9124511830109,87.9075858647869,74.8942162002294,82.3231971425566,31.4809751221714,,128.2380299396,124.561137677833,56.3768561894712,30.2602820223118,29.1602538133102,96.6217101123186,61.8256550007546,107.722704785344
40.6279020235916,,120.242115304742,108.997727858369,29.6503640602415,30.5078461480031,30.8576342687341,90.1130257645901,64.0219032889274,96.3226717760903,38.3663081442335,43.5259988558482,125.664954163414,123.045605829916,50.49695865681,31.1150393095655,30.2976397222484,102.783063619103,93.4905702014855,103.610079808672,33.1568630499136,33.6895031662291,98.2491011336436,95.383465775941,40.8081222712087,31.3377682673074,31.3894210931581,107.355205782459,93.0604761325631,80.2201306429082,31.5149690105832,,119.789806610162,108.936569184296,34.9910824157309,31.3145015494305,31.1107186320583,31.3461716491904,97.9648627713072,23.3544974558697,,98.8192626493244,95.5259806349257,33.9369600706946,31.3526315974231,30.9106973206426,87.9587160432477,74.8084280053602,81.9791466647055,31.4843869916568,,128.114146658334,124.552769534154,55.0148199500956,30.249767163255,29.1614462940011,96.5216093210611,62.0939655438299,107.894402717396
40.5938699021424,,120.275553350126,109.006453794676,29.32237061605,30.5322003670627,30.8616060131073,90.3056039079809,63.9753269674485,96.3788007331967,38.200716254422,43.4622085196275,125.804268324411,123.068853173233,49.2936388544018,31.1123288242303,30.2970731776803,102.953322379231,93.4053015292698,103.685848309365,33.1583539143265,33.756504783828,98.3261509986459,95.3354343704272,40.4501573139024,31.3349698270374,31.395466006515,107.433862101457,92.8799931665721,80.0971087634135,31.5102762406508,,119.716869471224,108.939609944281,34.8583207926506,31.310687415061,31.1047391790982,31.1618789375949,97.8056473968696,23.3526273335238,,98.7779656898731,95.5237153896741,33.8168661518331,31.3484035468377,30.9048328842501,87.9846466538584,74.7244440804616,81.6330258393374,31.485925183368,,127.999353861393,124.551465087093,53.7258377798689,30.2340982508039,29.1572489848275,96.4347139046794,62.3943077387157,107.995699248648
40.5635404487252,,120.297448663187,109.007867174759,29.0593520711139,30.5594355711833,30.8613885340066,90.4945648868411,63.9462071227596,96.4187558445473,38.0603333334135,43.3937295018648,125.945567012122,122.976200030221,48.3854180813377,31.1064485575328,30.2963477182552,103.132600007582,93.2970074673423,103.830047332742,33.1479728161257,33.8133832782542,98.3985599720661,95.3353668681625,40.0356109014298,31.3362536286854,31.4007902707324,107.5000061115,92.7446281501182,80.0643890171396,31.5178203514209,,119.643773265244,108.96311854679,34.7090556214288,31.3072153322712,31.0975947783958,30.9726028038671,97.6703676470765,23.3570258049732,,98.7391415709574,95.6165943555982,33.7315476860867,31.3493221947628,30.9052250249911,87.9996064987916,74.6275542372875,81.2952541307791,31.4874510582418,,127.899395317225,124.531672276753,52.6571901173206,30.2206072353018,29.1552301559982,96.3336073912284,62.7631951222015,108.016306641155
40.5501106769075,,120.296468935717,109.076779146164,29.029029085449,30.5958073660707,30.8664970029026,90.6789788121515,63.9409780257019,96.4322851183008,37.9428396407732,43.3271025125663,126.086342067103,123.024961535104,47.7969195861144,31.105810661565,30.2971915575353,103.314287454126,93.2016954544089,103.971467938096,33.1338844335102,,98.5065431077101,95.3677317627942,39.6826480113883,31.3448880431044,31.3949616771491,107.561031845447,92.5185213452637,80.1139660454602,31.5253642435084,,119.560427515453,108.995999800052,34.4936912890651,31.3039442092124,31.0957769915702,30.8287364866831,97.3437135466697,23.35416759901,,98.7103727143316,95.6075319206163,33.7094877832072,31.3474956371263,30.9111633684778,87.9991684316087,74.546266180526,80.9438459562168,31.4843047205808,,127.814652421478,124.567758541363,51.7532082589279,30.2060558162461,29.1561327270637,96.2433808758753,63.1768037855961,107.95940095833
